content_id,content_type,thumbnail_url,title,summary,status,original_title
A0228,애니메이션,https://image.tmdb.org/t/p/w500/zf07Z39YWFecDZMGQ9UWsCGX3ZD.jpg,마슐,"이곳은 마법계. 이곳은 마법이 당연한 것처럼 사용되는 세계. 그런 마법계의 깊은 순속에서 혼자서 근육 단련에 힘쓰는 소년. 그의 이름은 마슈 반데드── 그의 비밀은, '마법을 사용하지 못한다는 것' 가족과의 평온하게 살길 원하는 그였지만 어느 날, 갑자기 목숨이 노려지고 어째선지 마법학교에 입학해 가장 우수한 학생만이 될 수 있다는 '신각자'를 목표로 하게 된다. 그의 단련된 근육은 정예 마법사들에게도 통할 것인가...?! 단련된 파워가 모든 마법을 분쇄하는 앱노멀 마법 판타지 당당히 개막──!!",방영 중,マッシュル-MASHLE-
A0229,애니메이션,https://image.tmdb.org/t/p/w500/nGZAwg2K3qwXg3vE2B2QKevpTy0.jpg,마루코는 아홉살,엉뚱하지만 미워할 수 없는 귀여운 9살 꼬마숙녀 마루코를 중심으로 그 가족과 친구들의 소소한 일상이야기를 따뜻하고 코믹하게 그린 작품으로 평온한 일상이 배경이다. 주로 학교생활에서 벌어지는 사소한 에피소드나 친구들과의 우정을 다루고 있어 오랜 시간이 지나도 변함없이 사랑 받고 있다. 엽기적이고 엉뚱하지만 자신의 생각을 거침없이 표현하는 꾸밈없는 캐릭터인 마루코의 순수함이 남녀노소 모두에게 웃음과 잔잔한 감동을 전한다.,방영 중,ちびまる子ちゃん
A0230,애니메이션,https://image.tmdb.org/t/p/w500/9ViCYfZ0whpwtKbM2WJP5PfsG2x.jpg,니모를 찾아서,"광대어 말린은 아내 코랄과 2세들의 부화를 기다리던 중 상어의 습격을 받는다. 알을 보호하려던 아내는 행방불명되고, 유일하게 살아남은 아기에게 말린은 니모라는 이름을 붙인다. 사건 이후 큰 바다를 무조건 겁내게 된 말린은 니모를 과보호한다. 하지만 니모는 등교 첫날 잠수부에게 납치돼 시드니에 있는 치과의사의 수족관에 끌려가고, 슬픔으로 혼비백산한 아빠 말린은 평소의 심약함을 잊고니모를 찾아나선다. 단기기억상실증을 지닌 명랑한 물고기 도리의 도움으로 상어, 심해어, 해파리의 위협을 뚫고 동호주 해류로 향하는 동안, 니모는 수족관의 새 친구들과 탈출을 모의한다.",개봉,Finding Nemo
A0231,애니메이션,https://image.tmdb.org/t/p/w500/hmNpwSKZzStqO4bfOFeYNTn2B7.jpg,릴로와 스티치,"스티치가 줌바 박사의 사랑받는 실험체 626이었다면, 다른 625마리 실험체들은 어떻게 되었을까? 줌바의 남은 실험체들은 바람 빠진 공 모양으로 하와이에 모두 착륙한다. 실험체들은 물속에 잠기면 활성화되고 각 실험체는 스티치처럼 파괴력과 유머 감각이 있다. 릴로와 스티치의 임무는 스티치의 사촌들이 악당 쟈크 본 햄스터비엘 박사와 심복 간투의 손아귀에 떨어지기 전에 붙잡고, 실험체들의 악한 본성을 선으로 바꾸고, 각 실험체가 공동체에 소속되어 사회에 이바지할 수 있는 장소를 찾아주는 일이다.",방영 종료,Lilo & Stitch: The Series
A0232,애니메이션,https://image.tmdb.org/t/p/w500/jt1GlLLvkWL2m83VX8I1qsDR187.jpg,슈퍼 마리오 브라더스,따단-딴-따단-딴 ♫ 전 세계를 열광시킬 올 타임 슈퍼 어드벤처의 등장! 뉴욕의 평범한 배관공 형제 '마리오'와 ‘루이지’는 배수관 고장으로 위기에 빠진 도시를 구하려다 미스터리한 초록색 파이프 안으로 빨려 들어가게 된다. 파이프를 통해 새로운 세상으로 차원 이동하게 된 형제. 형 '마리오'는 뛰어난 리더십을 지닌 '피치'가 통치하는 버섯왕국에 도착하지만 동생 '루이지'는 빌런 '쿠파'가 있는 다크랜드로 떨어지며 납치를 당하고 ‘마리오’는 동생을 구하기 위해 ‘피치’와 ‘키노피오’의 도움을 받아 '쿠파'에 맞서기로 결심한다. 그러나 슈퍼스타로 세상을 지배하려는 그의 강력한 힘 앞에 이들은 예기치 못한 위험에 빠지게 되는데...!,개봉,The Super Mario Bros. Movie
A0233,애니메이션,https://image.tmdb.org/t/p/w500/kzcTgevX8GkWsqe0rPcddqwY1iD.jpg,그랑블루,"바다를 분위기로 한 일상 스포츠물 & 연애물이며, 전라의 남성이 우르르 나와 궤변과 술로 빵 터지게 하는 개그 만화이기도 하다. 제목의 그랑블루는 주인공인 이오리가 하숙하고 있는 삼촌의 가게로, 다이버 용품의 판매 및 가이드를 하고 있다.",방영 중,ぐらんぶる
A0234,애니메이션,https://image.tmdb.org/t/p/w500/uaNJxTEFQ8KHHMtqoU1CLJ8Ixae.jpg,철야의 노래,"""처음으로 밤에 아무한테도 말하지 않고 밖으로 나갔다.""

여자가 거북한 중학교 2학년의 야모리 코우는 지금, 모종의 이유로 등교 거부 중이다. 심지어는 밤에 잠들지 못하는 날도 계속 되고 있다.

그러던 어느 날, 코우는 처음으로 밤에 아무한테도 말하지 않고 밖으로 나갔다. 기분 좋은 밤바람에, 어디까지나 자유롭고, 낮과 다른 세계 속에서 코우는 자신의 자리를 찾는다.

그곳에 갑자기, 수수께끼의 미소녀 나나쿠사 나즈나가 나타난다. 밤에 상주하는 흡혈귀인 나즈나는 코우에게 밤의 즐거움을 알려준다.

""오늘 하루에 만족할 수 있을 때까지 깨어있어 봐, 소년.""

밤과 나즈나에게 매료되어 가는 코우는, 그녀에게 부탁한다. ""저를 흡혈귀로 만들어주세요.""

이를 들은 나즈나는 흡혈귀가 되는 조건을 쑥스러워하면서 알려준다. 그것은… 사람이, 흡혈귀를 사랑하는 것!

사랑을 모르는 코우는, 과연 나즈나와 사랑을 하고 정식으로 흡혈귀가 될 수 있을까?! 단둘이서 만나는 특별한 철야가 시작된다.",방영 종료,よふかしのうた
A0235,애니메이션,https://image.tmdb.org/t/p/w500/sT1vLH38iaezVgoFqmaiihbnTUy.jpg,라푼젤,"장장 18년을 탑 안에서만 지낸 끈기 만점의 소녀 라푼젤. 어느 날 자신의 탑에 침입한 왕국 최고의 대도를 한 방에 때려잡고, 그를 협박해 꿈에도 그리던 집 밖으로의 모험을 단행한다. 과잉보호 모친의 영향으로 세상을 험난한 곳으로만 상상하던 라푼젤 앞에 왕실 경비마 맥시머스의 추격, 라이더에게 복수의 칼날을 가는 스태빙턴 형제의 위협, 라푼젤의 가짜 엄마 고델의 무서운 음모 등이 얽혀 점점 흥미진진한 사건들이 터지기 시작한다. 그러나 세상물정 모르는 라푼젤은 자신 앞에 펼쳐진 스릴 넘치는 세상을 맘껏 즐기는데...",개봉,Tangled
A0236,애니메이션,https://image.tmdb.org/t/p/w500/e1Fe5z8zcPlpzv2rRrCIhl4zPXQ.jpg,아이스 에이지: 지구 대충돌,"도토리를 쫓던 스크랫이 이번에는 우주로 날아가 태양계를 위협하는 행성 충돌 사건을 일으킨다. 이로 인해 거대 운석이 지구로 향해 떨어지는 사상 초유의 위기가 닥치고, 시드와 매니, 디에고를 비롯한 그의 친구들은 안전한 곳을 찾아 머나먼 땅으로 떠나야만 한다. 다시 돌아온 벅은 그들을 이끄는 길잡이가 되고 요가의 대가 샹그리라마, 초절정 미녀 브룩 등이 있는 지오토피아를 만난다. 과연 그들은 지구의 위기를 뚫고 모두를 구해낼 수 있을 것인가? 우주 사상 초유의 모험이 시작된다!",개봉,Ice Age: Collision Course
A0237,애니메이션,https://image.tmdb.org/t/p/w500/waceHDF4CtzZjqqGL6pWmANCOZD.jpg,코바야시네 메이드래곤,"독신 생활에 지친 OL 코바야시. 그러한 그녀의 집에 돌연 찾아온 건 드래곤?!

갑작스러운 사태에 어리둥절한 코바야시 앞에서 드래곤은 메이드복을 입은 미소녀로 변신한다.  사정을 들어보니 전날 밤 자신이 집으로 오라고 한 듯하지만 만취했던 탓에 전혀 기억이 나지 않는 코바야시.  ＂메이드로서 일하게 해주세요＂

뿔과 꼬리가 달린 메이드이자 드래곤 소녀.  토르와의 우당탕 좌충우돌 생활이 시작된다!...",방영 종료,小林さんちのメイドラゴン
A0238,애니메이션,https://image.tmdb.org/t/p/w500/yYu3lASDbkjot2bejE5ic63A4j0.jpg,나의 행복한 결혼,"쓸모없는 존재로 여겨지며 가족에게 학대받는 미요. 하지만 막강한 약혼자를 만나 진정한 자신의 모습을 깨닫고, 숨겨져 있던 능력을 서서히 발휘하기 시작한다.",방영 중,わたしの幸せな結婚
A0239,애니메이션,https://image.tmdb.org/t/p/w500/9LsaIvAujFe8Ih0lS45Xgfma0L7.jpg,바람의 검심,메이지 시대로의 전개과정에서 수 많은 목숨을 베어야 했던 '칼잡이 발도제' 켄신이 떠돌이 무사가 되어 고통과 눈물 속에서 살아가는 민중들의 편에 서서 사람을 헤치지 않는 역날검을 들고 방랑길에 오르며 겪게 되는 스토리이다. 켄신은 자신의 검에 사라진 생명들에 대해 씻을 수 없는 깊은 상처를 안고 살아가지만 방랑생활을 통해 자신을 필요로 하는 더 많은 사람들을 구하며 곁에 항상 머물러 주는 친구들과의 우정과 사랑을 통해 조금이나마 그 무게를 줄여나간다.,방영 종료,るろうに剣心 明治剣客浪漫譚
A0240,애니메이션,https://image.tmdb.org/t/p/w500/g3FZMkQ5lS2PifL8RFJRYCDlHs.jpg,그녀도 여친,"주인공 나오야는 고등학교 1학년. 쭉 좋아했던 사키에게 고백해, 여자친구가 되도록 성공. 행복의 절정에 있었다.

그러나, 그런 나오야에게 미소녀 나기사가 말을 건다. 그녀는 다짜고짜 나오야에게 좋아한다고 고백을 하는 것이었다. 너무나 좋은 사람에게 마음이 흔들리는 나오야는, 어떤 결정을 한다...!!

설마 한 선택으로부터 시작되는 네오 스탠다드 러브 코미디!!",방영 종료,カノジョも彼女
